,東　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3,4,4,3N,5,4,4,5D,36
1,Blue,462,192,335,410,152,495,400,330,512,3288
2,White,437,169,320,395,143,475,386,302,497,3124
3,Red,307,124,184,303,130,429,323,241,418,2459
4,Hdcp,4,16,10,2,14,8,12,18,6,­
