,IN,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3N,4,4,3,5,5,4,36
1,BT,368,330,126,379,341,159,495,418,264,2880
2,FT,357,308,110,367,321,136,462,398,242,2701
3,LT,294,266,90,298,263,126,351,328,202,2218
4,Hdcp,7,6,9,5,1,4,2,3,8,­
