,天王,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,4.0,4.0,4.0,3.0,5.0,3N,4.0,5D,36
1,Back T.,407.0,295.0,394.0,373.0,184.0,497.0,186,371.0,518,3225
2,Reg.,388.0,284.0,369.0,357.0,163.0,490.0,175,358.0,489,3073
3,Hdcp,,,,,,,,,,­
