,南,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4D,3,4,4,5,3N,5,36
1,Black,376,372,429,186,346,357,588,210,517,3381
2,Blue,351,372,419,160,346,357,536,177,488,3206
3,White,351,344,419,160,315,344,536,177,488,3134
4,Green,310,328,370,150,304,331,510,118,440,2861
5,Red,300,310,370,125,304,331,510,118,440,2808
6,Hdcp,5,8,2,4,7,1,3,6,9,­
