,吾妻,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4,3,4,3N,4,4,5D,36
1,Blue,566,462,420,170,400,200,400,449,528,3595
2,White,544,434,374,144,384,163,377,430,500,3350
3,Gold,512,390,353,144,355,143,352,419,468,3136
4,Red,470,330,304,88,278,143,317,340,440,2710
5,Hdcp,5,2,8,4,1,7,9,3,6,­
