,愛宕,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,3N,4.0,4.0,3.0,5.0,4.0,4.0,5D,36
1,Back T.,403.0,167,360.0,464.0,181.0,542.0,455.0,397.0,506,3475
2,Reg.,391.0,139,339.0,441.0,168.0,521.0,426.0,383.0,492,3300
3,Hdcp,,,,,,,,,,­
