,中,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,3,4,4,4,4,3N,5D,36
1,Black,395,632,229,407,435,320,456,195,478,3547
2,Blue,395,604,217,407,410,320,456,174,478,3461
3,White,358,604,217,376,410,305,411,174,447,3302
4,Green,338,577,135,351,410,294,380,152,418,3055
5,Red,338,491,135,351,350,294,380,152,418,2909
6,Hdcp,8,2,5,4,1,7,3,9,6,­
