,西　IN,10,11,12,13,14,15,16,17,18,計
0,Par,5.0,4D,5.0,3N,4.0,3N,4.0,4.0,4D,36
1,Back T.,501.0,416,515.0,175,320.0,138,409.0,380.0,418,3272
2,Reguler T.,476.0,370,501.0,170,310.0,131,378.0,350.0,400,3086
3,Ladies T,420.0,351,479.0,140,266.0,118,359.0,318.0,340,2791
4,Hdcp,,,,,,,,,,­
