,さざんか,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3N,4,5,3,4,4D,4,36
1,Back T.,537,323,167,340,513,174,348,361,370,3133
2,Reg.,521,303,151,331,484,156,325,348,347,2966
3,Red,435,255,138,322,412,79,282,282,262,2467
4,Hdcp,2,8,9,6,1,4,7,5,3,­
