,南,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4,3,5D,4,3N,4,4,36
1,Back T.,479,369,356,198,560,374,237,363,418,3354
2,Regular,468,358,337,155,510,352,182,341,403,3106
3,Ladies,446,341,316,125,420,330,117,319,319,2733
4,Hdcp,5,2,8,7,1,4,9,6,3,­
