,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,4,4,3N,4,5,3,5,36
1,BLUE,373,313,387,417,155,388,495,142,536,3206
2,WHITE,351,297,371,402,143,346,484,127,497,3018
3,RED,327,297,354,353,129,326,377,127,467,2757
4,Hdcp,6,16,12,2,18,8,4,14,10,­
