,けやき,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4,3N,5,4D,3,4,5,36
1,Back T.,359,412,360,180,531,380,173,407,491,3293
2,Reg.,338,407,323,149,510,330,156,374,470,3057
3,Red,300,300,300,91,410,243,93,329,390,2456
4,Hdcp,8,2,7,5,4,1,9,3,6,­
