,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,3N,5,4,4D,3N,4,5D,36
1,BLACK,402,404,212,547,371,463,244,392,520,3555
2,BLUE,387,378,181,547,371,408,219,351,520,3362
3,WHITE,373,360,147,509,356,408,185,351,493,3182
4,Green,353,342,147,488,333,377,164,323,475,3002
5,RED,339,328,118,463,298,355,148,294,449,2792
6,Hdcp,10,4,16,2,14,8,18,12,6,­
