,西　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,4.0,3N,4.0,5D,4.0,4.0,3N,5D,36
1,Back T.,381.0,415.0,210,415.0,509,460.0,384.0,158,517,3449
2,Reguler T.,361.0,365.0,181,389.0,496,382.0,361.0,144,496,3175
3,Ladies T,313.0,301.0,146,349.0,454,348.0,312.0,128,449,2800
4,Hdcp,,,,,,,,,,­
