,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4,5,3N,4,5D,3,4,36
1,Champion,431,421,415,529,192,402,492,172,399,3453
2,Back,431,421,415,529,176,402,492,172,399,3437
3,Regular,394,396,392,503,155,381,471,153,378,3223
4,LADIES,361,280,329,440,130,276,396,124,286,2622
5,Hdcp,15,3,9,1,13,7,5,17,11,­
