,赤城,1,2,3,4,5,6,7,8,9,計
0,Par,4D,4,3N,4,4,5D,4,3N,5,36
1,Back T.,437,421,172,432,428,483,422,215,482,3492
2,Reg,394,395,150,419,342,460,396,173,459,3188
3,LADYS,280,308,132,325,285,387,325,137,423,2602
4,Hdcp,2,5,8,4,7,1,3,9,6,­
