,烏帽子,1,2,3,4,5,6,7,8,9,計
0,Par,5,3,4,4,4,3N,4,5D,4,36
1,Blue,596,175,366,416,407,197,356,564,356,3433
2,White,562,153,330,373,384,160,336,519,340,3157
3,Gold,527,124,305,340,368,124,324,519,340,2971
4,Red,465,102,295,321,336,105,271,454,271,2620
5,Hdcp,2,5,8,7,1,4,6,3,9,­
