,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,3,5,4,3N,4,5D,4,36
1,BLUE,334,370,134,540,392,138,330,480,395,3113
2,WHITE,318,353,118,522,377,120,320,460,358,2946
3,RED,318,322,118,458,337,120,320,406,342,2741
4,Hdcp,10,4,16,8,2,14,18,6,12,­
