,ブルー,1,2,3,4,5,6,7,8,9,計
0,Par,5.0,4.0,4.0,3.0,5.0,4.0,3N,4D,4.0,36
1,Back T.,476.0,383.0,338.0,176.0,551.0,348.0,199,431,402.0,3304
2,Reg.,452.0,363.0,312.0,151.0,531.0,327.0,169,398,382.0,3085
3,Ladies,404.0,318.0,268.0,113.0,467.0,286.0,116,343,349.0,2664
4,Hdcp,,,,,,,,,,­
