,東　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5.0,4D,3N,3N,4.0,4.0,4.0,4.0,5D,36
1,Back T.,577.0,365,166,175,320.0,415.0,348.0,341.0,491,3198
2,Reguler T.,561.0,343,145,165,305.0,401.0,319.0,308.0,476,3023
3,Ladies T,497.0,321,134,136,248.0,366.0,290.0,286.0,417,2695
4,Hdcp,,,,,,,,,,­
