,東　IN,10,11,12,13,14,15,16,17,18,計
0,Par,5.0,4.0,4D,3N,4.0,3N,4.0,5D,4.0,36
1,Back T.,517.0,367.0,406,150,427.0,184,462.0,589,314.0,3416
2,Reguler T.,497.0,349.0,388,136,409.0,164,429.0,574,300.0,3246
3,Ladies T,432.0,239.0,278,126,343.0,121,396.0,511,290.0,2736
4,Hdcp,,,,,,,,,,­
