,西,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,4,4,4,4,3,5D,5,36
1,Back T.,464,225,403,400,347,424,209,523,556,3551
2,Regular,427,152,374,369,319,396,185,490,528,3240
3,Ladies,389,120,340,330,303,358,151,440,501,2932
4,Hdcp,5,8,2,4,7,1,9,6,3,­
