,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5D,4,4D,5,3N,4,3N,4,4,36
1,Back,550,423,393,501,210,413,222,400,406,3518
2,Regular,508,357,361,471,135,367,181,366,384,3130
3,Senior,472,357,344,435,135,336,127,343,335,2884
4,Ladies,427,295,286,385,135,304,112,295,287,2526
5,Pink,359,280,251,330,135,273,93,273,287,2281
6,Hdcp,16,4,10,14,8,2,12,6,18,­
