,北,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,4,3N,4,4D,5,3,4,36
1,Black,455,569,346,198,375,460,513,222,394,3532
2,Blue,455,551,346,198,330,440,486,196,394,3396
3,White,424,551,332,171,330,429,486,196,352,3271
4,Green,411,514,310,161,315,363,466,167,331,3038
5,Red,411,482,293,161,251,363,466,167,331,2925
6,Hdcp,2,5,8,7,4,1,9,6,3,­
