,西　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4,4,3,5,4D,3N,5,36
1,Blue,392,290,366,365,178,546,440,185,494,3256
2,White,374,274,337,341,165,511,418,153,477,3050
3,Red,313,274,255,306,141,397,294,128,405,2513
4,Hdcp,3,17,15,9,7,5,1,13,11,­
