,ゴールド,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,4.0,3N,4.0,5.0,4.0,3.0,5D,4.0,36
1,Back T.,366.0,388.0,173,369.0,534.0,397.0,189.0,497,380.0,3293
2,Reg.,337.0,371.0,149,344.0,514.0,379.0,176.0,475,355.0,3100
3,Ladies,270.0,335.0,106,283.0,450.0,341.0,143.0,415,294.0,2637
4,Hdcp,,,,,,,,,,­
