,東　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3,4,4,4,3N,4D,5,36
1,Blue,451,340,141,361,417,381,167,414,505,3177
2,White,441,329,141,334,395,366,151,399,480,3036
3,Red,427,318,141,245,375,258,98,301,414,2577
4,Hdcp,3,9,15,1,13,7,17,5,11,­
