,白兎　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4.0,4.0,5.0,4.0,3.0,4.0,3.0,5.0,4.0,36
1,Back T.,391.0,417.0,540.0,436.0,245.0,320.0,170.0,560.0,434.0,3513
2,Reg.,371.0,393.0,506.0,346.0,165.0,294.0,142.0,524.0,413.0,3154
3,Hdcp,,,,,,,,,,­
