,湖山　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,4.0,3.0,5.0,3.0,4.0,5.0,4.0,4.0,36
1,Back T.,383.0,432.0,218.0,514.0,197.0,360.0,574.0,339.0,416.0,3433
2,Reg.,372.0,410.0,174.0,476.0,164.0,339.0,536.0,323.0,405.0,3199
3,Hdcp,,,,,,,,,,­
