,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5,3,4,4,3N,5,4D,36
1,Back,454,398,585,188,345,415,202,534,359,3480
2,Regular,426,374,519,166,326,393,189,496,329,3218
3,Ladies,357,326,449,128,290,327,139,462,295,2773
4,Hdcp,3,9,1,11,17,5,7,13,15,­
