,白兎　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,5.0,4.0,3.0,4.0,4D,5.0,3N,4.0,36
1,Back T.,408.0,473.0,441.0,225.0,370.0,445,533.0,207,393.0,3495
2,Reg.,385.0,436.0,409.0,209.0,351.0,407,499.0,187,370.0,3253
3,Hdcp,,,,,,,,,,­
