golf_course_id,name,prefecture_id,created_at,updated_at,country_code,lon,lat
2157,阿寒カントリークラブ,1,1680528680,1680528680,jp,144.102844,43.111408
2162,旭川国際カントリークラブ,1,1680528680,1680528680,jp,142.598206,43.93428
2160,旭川ゴルフ倶楽部,1,1680528680,1680528680,jp,142.297379,43.772282
2123,旭川たかすゴルフクラブ,1,1680528680,1680528680,jp,142.376648,43.894104
2161,旭川メモリアルカントリークラブ,1,1680528680,1680528680,jp,142.29689,43.749584
2214,石狩平原カントリークラブ,1,1680528680,1680528680,jp,141.504852,43.253956
2106,エーヴランドゴルフクラブ,1,1680528680,1680528680,jp,140.825165,43.14975
2175,恵庭カントリー倶楽部,1,1680528680,1680528680,jp,141.503464,42.855152
2141,エバーグリーンゴルフ倶楽部,1,1680528680,1680528680,jp,141.912323,42.958294
2100,エムズゴルフクラブ,1,1680528680,1680528680,jp,141.760696,43.105133
2225,大沼国際カントリークラブ,1,1680528680,1680528680,jp,140.751602,42.010433
2224,大沼レイクゴルフクラブ,1,1680528680,1680528680,jp,140.640701,42.012554
2207,小樽カントリー倶楽部,1,1680528680,1680528680,jp,141.199005,43.150742
2221,帯広国際カントリークラブ,1,1680528680,1680528680,jp,143.279602,42.901443
2222,帯広白樺カントリークラブ,1,1680528680,1680528680,jp,143.327942,43.028931
2102,オホーツクカントリークラブ,1,1680528680,1680528680,jp,144.337967,43.949894
2167,温根湯国際カントリークラブ,1,1680528680,1680528680,jp,143.509445,43.777618
2177,桂ゴルフ倶楽部,1,1680528680,1680528680,jp,141.639694,42.746597
2210,上湧別リバーサイドゴルフ場,1,1680528680,1680528680,jp,143.552658,44.147938
2259,北見カントリークラブ,1,1680528680,1680528680,jp,143.854645,43.84864
2236,北見ハーブヒルゴルフクラブ,1,1680528680,1680528680,jp,143.949615,43.807285
2107,クラークカントリークラブ,1,1680528680,1680528680,jp,141.518829,42.919853
2110,グリーンスコーレカントリー倶楽部,1,1680528680,1680528680,jp,141.892319,43.800014
2112,グレート旭川カントリー倶楽部,1,1680528680,1680528680,jp,142.376648,43.894104
2113,グレート札幌カントリー倶楽部,1,1680528680,1680528680,jp,141.744583,42.916195
2159,コート旭川カントリークラブ,1,1680528680,1680528680,jp,142.518021,43.724026
2182,札樽ゴルフ倶楽部,1,1680528680,1680528680,jp,141.030273,43.131031
2184,札幌エルムカントリークラブ,1,1680528680,1680528680,jp,141.501938,42.913063
2128,札幌テイネゴルフ倶楽部,1,1680528680,1680528680,jp,141.210022,43.104588
2191,札幌ベイゴルフ倶楽部,1,1680528680,1680528680,jp,141.364258,43.218983
2267,札幌リージェントゴルフ倶楽部,1,1680528680,1680528680,jp,141.486023,42.930428
2116,サホロカントリークラブ,1,1680528680,1680528680,jp,142.838913,43.079758
2117,サロベツカントリークラブ,1,1680528680,1680528680,jp,141.801804,45.077263
2115,ザ・ノースカントリーゴルフクラブ,1,1680528680,1680528680,jp,141.594666,42.821472
2108,シェイクスピアカントリークラブ,1,1680528680,1680528680,jp,141.462418,43.272121
2203,鹿部カントリー倶楽部,1,1680528680,1680528680,jp,140.740372,42.063019
2202,士別同友会カントリークラブ,1,1680528680,1680528680,jp,142.406464,44.168037
2196,シャトレーゼカントリークラブ石狩,1,1680528680,1680528680,jp,144.847473,43.05196
2144,シャトレーゼカントリークラブマサリカップ,1,1680528680,1680528680,jp,144.847473,43.05196
2258,新奈井江カントリークラブ,1,1680528680,1680528680,jp,141.9039,43.429653
