,クイーン　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5,3,4,4,5D,4,3N,4,4,36
1,Back,510,145,457,383,565,368,183,356,423,3390
2,Regular,484,127,411,352,534,350,153,332,397,3140
3,Front,466,116,379,328,510,333,133,314,373,2952
4,Ladies,413,101,348,271,451,316,113,279,331,2623
5,Hdcp,5,17,1,13,3,11,15,9,7,­
