,湯涌,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,3.0,4.0,5.0,4D,4.0,4.0,3N,5.0,36
1,BACK,394.0,208.0,410.0,542.0,375,383.0,369.0,210,539.0,3430
2,REGULAR,352.0,132.0,365.0,501.0,350,363.0,327.0,170,525.0,3085
3,LADIES,296.0,122.0,323.0,455.0,291,296.0,294.0,159,432.0,2668
4,Hdcp,,,,,,,,,,­
