,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4,3N,4,5,4D,3N,4,36
1,BLUE,523,376,363,186,377,524,348,224,361,3282
2,WHITE,512,362,337,167,355,511,328,183,342,3097
3,GREEN,467,345,321,125,280,494,309,159,296,2796
4,RED,387,295,289,125,280,395,309,105,243,2428
5,Hdcp,3,2,5,8,1,4,9,6,7,­
