,ダイヤモンド　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,3,4,4,4,4,3N,5D,36
1,Champ,425,528,207,370,363,432,385,193,556,3459
2,Reg.,400,498,187,341,343,407,359,168,521,3224
3,Front,380,477,168,322,323,381,339,147,499,3036
4,Ladies,362,459,130,304,302,358,321,128,481,2845
5,Hdcp,3,9,11,17,5,7,1,15,13,­
