,いぬわし,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3N,4,4,4,3N,4D,5D,36
1,Back T.,500,435,190,360,350,395,180,445,565,3420
2,Reg.,475,400,165,340,330,375,160,425,540,3210
3,Front,462,335,165,300,298,375,160,415,540,3050
4,Hdcp,6,1,8,5,7,3,9,2,4,­
