,日本海,1,2,3,4,5,6,7,8,9,計
0,Par,5.0,4.0,4.0,3N,4.0,5D,4.0,4.0,3.0,36
1,Champion,574.0,391.0,405.0,137,418.0,563,453.0,395.0,208.0,3544
2,Back,549.0,366.0,395.0,133,404.0,533,432.0,389.0,194.0,3395
3,Regular,521.0,351.0,386.0,131,394.0,514,410.0,382.0,187.0,3276
4,Gold,475.0,277.0,340.0,121,353.0,434,354.0,328.0,164.0,2846
5,Ladies,475.0,277.0,309.0,121,319.0,434,310.0,328.0,121.0,2694
6,Hdcp,,,,,,,,,,­
