,おおたか,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,4,5,4,4,3,5D,4,36
1,Tournament,397,198,400,548,376,424,178,595,479,3595
2,Regular,357,135,364,506,337,368,158,511,411,3147
3,Ladies,308,118,329,464,301,334,113,477,394,2838
4,Hdcp,9,15,3,13,7,1,17,11,5,­
