,西,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3N,5D,4,5,3,4,4,36
1,Back T.,365,390,170,505,345,565,194,380,360,3274
2,White　T,356,368,159,487,345,545,180,368,346,3154
3,Red　T,298,270,112,404,296,460,137,206,263,2446
4,Hdcp,9,2,6,7,3,1,8,5,4,­
