,ゴールド　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5,3N,4,4,5D,4,3,4,4,36
1,Champ,573,200,416,423,547,363,223,421,425,3591
2,Reg.,508,165,391,398,517,338,177,396,395,3285
3,Front,502,149,372,378,496,316,153,373,375,3114
4,Ladies,476,129,352,359,473,296,130,349,356,2920
5,Hdcp,9,3,15,1,7,13,17,5,11,­
