,みさご,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3,4,5,4,3N,4,5D,36
1,Tournament,420,399,223,451,503,434,204,436,546,3616
2,Regular,382,347,183,397,459,379,153,376,496,3172
3,Ladies,345,315,144,357,410,330,111,330,430,2772
4,Hdcp,4,16,10,2,14,8,12,6,18,­
