,中,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4,3,4,4,3N,4,5D,36
1,Back T.,467,396,333,194,307,376,184,349,481,3087
2,Reg T.,445,354,320,182,299,345,169,325,471,2910
3,Ladies,436,311,262,114,289,325,157,301,378,2573
4,Hdcp,5,2,8,4,7,1,9,6,3,­
