,だいにち,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,4,3N,5D,4,3N,4,4,36
1,Back T.,347,515,418,197,500,295,178,391,372,3213
2,Reg.,322,499,401,183,481,278,160,374,354,3052
3,Front,295,472,375,160,456,271,135,346,327,2837
4,Hdcp,7,4,1,5,2,9,8,3,6,­
