,能州台　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,4,3N,5,4D,4,3,5,37
1,Back T.,420,474,405,162,558,388,424,166,522,3519
2,Reg.,405,457,336,137,540,316,389,184,499,3263
3,Hdcp,5,17,1,15,11,13,7,9,3,­
