,はまなす,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,3.0,4.0,4.0,5D,4.0,4.0,3N,5.0,36
1,Champion,405.0,196.0,449.0,398.0,539,410.0,441.0,177,558.0,3573
2,Back,388.0,177.0,409.0,387.0,512,394.0,420.0,164,537.0,3388
3,Regular,366.0,161.0,390.0,362.0,490,368.0,401.0,148,529.0,3215
4,Gold,287.0,147.0,346.0,330.0,444,335.0,358.0,137,448.0,2832
5,Ladies,287.0,147.0,308.0,266.0,444,320.0,358.0,115,448.0,2693
6,Hdcp,,,,,,,,,,­
