,南,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5,4,3N,4,5,3,4D,36
1,Back T.,411,440,503,398,218,370,542,206,393,3481
2,White　T,391,427,496,374,203,353,524,180,372,3320
3,Red　T,325,311,400,318,129,281,404,141,282,2591
4,Hdcp,3,1,4,8,6,5,2,7,9,­
