,クイーン　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,3,5D,4,3N,4,4,5,36
1,Back,445,365,230,548,345,192,375,408,550,3458
2,Regular,413,340,190,503,325,170,360,384,515,3200
3,Front,393,317,140,477,302,148,338,358,485,2958
4,Ladies,364,281,115,412,274,128,299,303,434,2610
5,Hdcp,2,12,16,4,14,18,10,8,6,­
