,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,5,3N,4D,4,4D,3,4,5,36
1,Back,449,501,167,429,380,385,212,365,493,3381
2,Reg.,422,482,150,418,355,353,193,356,468,3197
3,Front,396,462,128,389,326,329,174,335,442,2981
4,Gold,370,446,105,351,283,314,151,314,393,2727
5,Ladies,338,366,105,295,283,314,93,286,393,2473
6,Hdcp,12,6,4,2,14,8,16,10,18,­
