,戸室,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,4.0,3N,5.0,3.0,4.0,4.0,4D,5.0,36
1,BACK,332.0,367.0,182,509.0,149.0,301.0,369.0,365,524.0,3098
2,REGULAR,317.0,352.0,150,480.0,135.0,290.0,352.0,345,505.0,2926
3,LADIES,298.0,305.0,149,461.0,125.0,251.0,292.0,321,439.0,2641
4,Hdcp,,,,,,,,,,­
