,キング　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5D,4,4,4,3N,5,3,4,4,36
1,Back,563,407,430,425,186,568,185,365,390,3519
2,Regular,541,391,407,386,165,534,166,341,368,3299
3,Front,520,367,387,361,145,503,151,341,339,3114
4,Ladies,487,351,352,329,116,453,136,325,317,2866
5,Hdcp,3,9,7,15,13,1,17,5,11,­
