,兼六,1,2,3,4,5,6,7,8,9,計
0,Par,5.0,3.0,4.0,5.0,4.0,3N,4.0,4.0,4D,36
1,BACK,535.0,197.0,416.0,576.0,378.0,195,368.0,418.0,398,3481
2,REGULAR,513.0,179.0,406.0,540.0,367.0,143,324.0,387.0,347,3206
3,LADIES,483.0,130.0,380.0,527.0,251.0,127,285.0,371.0,259,2813
4,Hdcp,,,,,,,,,,­
