,眉丈台　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4D,4,3,4,5,3N,4,36
1,Back T.,517,430,420,331,173,405,479,163,400,3318
2,Reg.,498,349,386,306,147,376,457,137,376,3032
3,Hdcp,5,3,1,8,7,2,6,9,4,­
