,能州台 中,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,4,3,4,5,4,3,4,36
1,Back,420,474,405,140,367,534,382,168,363,3253
2,Reg,405,457,336,134,350,505,312,149,342,2990
3,Ladies,343,422,289,107,316,448,278,149,299,2651
4,Hdcp,5,8,1,6,4,2,7,9,3,­
