,松,1,2,3,4,5,6,7,8,9,計
0,Par,4,5D,3N,4,4,4,3,5,4,36
1,Back,375,570,180,370,406,390,196,547,424,3458
2,Regular,365,557,161,349,366,372,186,530,411,3297
3,Front,352,538,146,331,340,352,171,521,377,3128
4,Gold,345,499,146,315,275,352,157,496,339,2924
5,Ladies,342,410,126,261,202,317,127,442,311,2538
6,Hdcp,7,2,9,4,1,8,6,3,5,­
