,東,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3N,5,4,4,3,4,4D,36
1,Back T.,457,439,195,534,399,342,193,393,419,3371
2,Reg T.,431,358,154,511,372,326,177,326,398,3053
3,Ladies,395,320,138,406,278,206,112,237,340,2432
4,Hdcp,5,2,8,4,1,7,9,6,3,­
