,キング　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,5D,4,3N,4,5,3,4,36
1,Back,360,405,508,366,218,435,585,182,409,3468
2,Regular,340,376,488,333,169,413,557,163,378,3217
3,Front,317,353,466,308,146,386,433,140,358,2907
4,Ladies,275,316,431,261,137,334,416,118,327,2615
5,Hdcp,10,16,6,14,8,4,2,18,12,­
