,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3N,4,5,4,4,5D,3N,4,36
1,BLUE,342,178,416,494,406,382,525,183,396,3322
2,WHITE,329,135,351,444,389,363,504,165,368,3048
3,GREEN,308,117,329,413,369,337,480,145,349,2847
4,RED,290,117,329,350,290,267,422,118,308,2491
5,Hdcp,9,6,3,2,1,5,4,7,8,­
