,梅,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,4,4,4,5D,3,4,5,36
1,Back,417,185,339,400,432,541,138,373,513,3338
2,Regular,392,147,339,386,411,525,125,361,502,3188
3,Front,392,130,339,370,401,510,108,361,482,3093
4,Gold,344,130,308,318,345,440,108,325,450,2768
5,Ladies,344,101,288,294,320,399,105,287,450,2588
6,Hdcp,3,7,8,4,1,2,9,6,5,­
