,能州台　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,4D,3N,4,5,4,3,4,35
1,Back T.,365,405,384,128,367,525,382,161,363,3080
2,Reg.,339,363,335,145,350,497,312,149,342,2832
3,Hdcp,8,4,2,18,10,12,14,16,6,­
