,くろゆり,1,2,3,4,5,6,7,8,9,計
0,Par,5D,4,4,4,3N,4,4,3N,5D,36
1,Back T.,520,405,430,400,170,343,375,190,505,3338
2,Reg.,511,390,390,379,150,308,360,170,480,3138
3,Front,468,390,390,362,135,308,360,160,440,3013
4,Hdcp,3,5,1,2,9,7,6,8,4,­
