,ゴールド　IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4,3N,4,4,4,3,5D,4,36
1,Champ,545,423,178,412,428,367,195,555,442,3545
2,Reg.,515,393,153,382,389,343,170,520,417,3282
3,Front,509,372,136,359,370,320,148,497,405,3116
4,Ladies,482,353,121,342,351,301,125,466,380,2921
5,Hdcp,10,4,16,8,2,14,18,6,12,­
