,宝達,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,3.0,4D,4.0,5.0,3N,4.0,4.0,5.0,36
1,Champion,390.0,175.0,388,432.0,569.0,186,408.0,402.0,502.0,3452
2,Back,373.0,170.0,368,423.0,518.0,171,383.0,377.0,493.0,3276
3,Regular,363.0,165.0,352,416.0,511.0,153,357.0,359.0,487.0,3163
4,Gold,318.0,160.0,334,363.0,416.0,123,327.0,348.0,443.0,2832
5,Ladies,270.0,160.0,334,337.0,416.0,123,327.0,348.0,401.0,2716
6,Hdcp,,,,,,,,,,­
