,竹,1,2,3,4,5,6,7,8,9,計
0,Par,5,4D,4,3N,4,5,3,4,4,36
1,Back,564,385,395,181,470,548,182,406,360,3491
2,Regular,551,365,375,162,455,533,174,389,350,3354
3,Front,533,343,350,148,443,533,164,373,340,3227
4,Gold,484,337,306,110,398,453,122,322,340,2872
5,Ladies,448,311,302,102,346,405,94,315,305,2628
6,Hdcp,3,6,2,9,1,4,8,5,7,­
